Incident Id;Date of Arrest;Time of Arrest;Primary Charge;Address;Arrestee's Age;Arrestee's Race;Arrestee's Gender;Arrestee's Ethnicity;Type of Arrest;Drugs or Alcohol Present;Weapon Present
24071;2010-01-01;0:36;UNDERAGE POSSESSION;LAKESHORE LN/SHADY LAWN RD CHAPEL HILL NC;;;;;SUMMONED/CITED;Y;UNARMED
24078;2010-01-01;4:30;UNDERAGE POSSESSION;505 RED BUD RD CHAPEL HILL NC 27514;18;W;M;N;SUMMONED/CITED;Y;UNARMED
24080;2010-01-01;7:52;FAIL TO APPEAR/COMPL;113 NORTH ESTES DRIVE CHAPEL HILL NC 27514;18;W;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24082;2010-01-01;15:42;RESISTING ARREST;110 NEW STATESIDE DR CHAPEL HILL NC 27516;27;W;M;N;ON VIEW;U;UNARMED
24083;2010-01-01;16:13;BURGLARY-1ST DEGREE;529 HILLSBOROUGH STREET CHAPEL HILL NC 27514;48;A;M;H;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED
24092;2010-01-05;17:21;MISUSE OF PUBLIC SEATING;N COLUMBIA AT W FRANKLIN CHAPEL HILL NC 27514;55;W;M;;SUMMONED/CITED;Y;UNARMED
24093;2010-01-06;3:27;DRUGS-POSS SCHED IV;200 BLOCK E FRANKLIN ST CHAPEL HILL NC 27516;23;W;M;N;ON VIEW;Y;UNARMED
24099;2010-01-09;1:19;RESISTING ARREST;202 WEST ROSEMARY STREET CHAPEL HILL NC 27514;21;W;F;;SUMMONED/CITED;Y;UNARMED
24098;2010-01-09;2:06;POSSESSION OF FAKE ID;150 EAST ROSEMARY STREET CHAPEL HILL NC 27514;20;B;M;;ON VIEW;Y;UNARMED
24106;2010-01-09;19:51;FORGERY;500 UMSTEAD DRIVE CHAPEL HILL NC 27516;29;B;F;N;ON VIEW;N;UNARMED
24103;2010-01-09;21:30;GIVE/SELL MALT BEV TO MINOR  M;1201 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27516;20;W;M;;SUMMONED/CITED;Y;UNARMED
24112;2010-01-11;2:00;DRIVING WHILE IMPAIRED;100 RALEIGH ST CHAPEL HILL NC 27514;27;W;F;;ON VIEW;Y;UNARMED
24126;2010-01-13;12:52;ASSAULT W DEADLY WEAPON;136 E ROSEMARY ST CHAPEL HILL NC 27514;60;B;M;;ON VIEW;Y;UNARMED
24132;2010-01-15;3:07;DAMAGE-PERSONAL PROP;140 W FRANKLIN ST CHAPEL HILL NC 27516;;;;;SUMMONED/CITED;Y;UNARMED
24133;2010-01-15;4:06;IMPAIRED DRIVING DWI;LEGION RD CHAPEL HILL NC 27514;21;W;F;;ON VIEW;Y;UNARMED
24138;2010-01-15;15:33;NDL - SUSPENDED / REVOKED;MLK JR BLVD AND WESTMINSTER DR CHAPEL HILL NC 27514;37;W;M;;ON VIEW;Y;UNARMED
24152;2010-01-19;20:39;ASSAULT-SIMPLE;213 NORTH BOUNDARY STREET CHAPEL HILL NC 27514;69;W;F;N;ON VIEW;Y;UNARMED
24159;2010-01-21;20:50;FAIL TO APPEAR/COMPL;221 KNOLLS STREET CHAPEL HILL NC 27514;51;B;F;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24162;2010-01-21;21:25;SELL MALT BEV TO MINOR  M;342 W ROSEMARY ST CHAPEL HILL NC 27516;39;B;M;;SUMMONED/CITED;N;UNARMED
24175;2010-01-27;19:52;FAIL TO APPEAR/COMPL  M;108 WEST CAMERON AVENUE CHAPEL HILL NC;20;W;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED
24184;2010-01-29;15:30;FAIL TO APPEAR/COMPL;828 MARTIN LUTHER KING JR BLVD CHAPEL HILL NC 27514;21;W;M;;TAKEN INTO CUSTODY (WARRANT/LP);;UNARMED
24187;2010-02-02;13:16;DRUGS-POSS SCHED II  F;WILLOW DR NEAR FORDHAM BLVD CHAPEL HILL NC 27514;32;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED
24189;2010-02-02;19:43;NDL - SUSPENDED / REVOKED;100 NEW STATESIDE DR CHAPEL HILL NC 27516;31;B;M;N;ON VIEW;U;UNARMED
24190;2010-02-03;2:18;CONSUME ALCOHOLIC BEVERAGE LESS THAN 21;211 CHURCH ST CHAPEL HILL NC 27516;19;W;M;N;SUMMONED/CITED;Y;UNARMED
24194;2010-02-03;15:49;FAIL TO APPEAR/COMPL;100 N COLUMBIA ST CHAPEL HILL NC 27516;54;W;M;N;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED
